extra_trees_source,lightgbm_source,xgboost_source,hgb_labelcoded_source,catboost_native_source,roc_auc,average_precision,best_f1_threshold,best_f1,best_mcc_threshold,best_mcc,best_balanced_accuracy_threshold,best_balanced_accuracy
old,old,old,tuned,tuned,0.8806155745138885,0.5237710110294145,0.87,0.5175047740292807,0.9,0.458524985049083,0.7100000000000001,0.7940174787492552
old,old,tuned,tuned,tuned,0.8806626427422739,0.5231759481749574,0.88,0.5184453227931489,0.88,0.4596998756444253,0.7100000000000001,0.7945614583252729
old,tuned,old,tuned,tuned,0.8807351662370313,0.5231559009872208,0.88,0.5208538587848933,0.88,0.46222889420877206,0.73,0.7937176722786545
old,old,old,tuned,old,0.8803509891665695,0.5229030057237452,0.88,0.5168094924192486,0.89,0.4604436124870218,0.7000000000000001,0.7937512123937795
old,tuned,tuned,tuned,tuned,0.8808021397366047,0.5224552085366083,0.88,0.5187130663164806,0.9,0.4603658490086214,0.72,0.7942947116817526
old,old,old,old,tuned,0.8805139669097547,0.5223143694237715,0.88,0.5181518151815182,0.88,0.45949032376491694,0.7000000000000001,0.7951093068883178
old,tuned,old,tuned,old,0.8804734893006498,0.5222073671058609,0.88,0.5187623436471362,0.88,0.46001631632670587,0.73,0.7940389316152541
old,old,tuned,tuned,old,0.8804047547449123,0.5219483524828858,0.88,0.5174456879526004,0.89,0.4590548700213504,0.7100000000000001,0.794670963999476
old,tuned,old,old,tuned,0.8806732357619277,0.5216431912296013,0.88,0.5159802306425041,0.89,0.4597342964978257,0.68,0.7935107481793748
old,old,old,old,old,0.8802415368577048,0.5216072132459159,0.88,0.5171052631578947,0.89,0.45817307915208255,0.7000000000000001,0.7946566087234718
old,old,tuned,old,tuned,0.8805434245764994,0.5215949777516494,0.88,0.5173439048562933,0.88,0.45864501525906975,0.7000000000000001,0.7945762938893219
old,tuned,tuned,tuned,old,0.8805371541492485,0.5214615287117924,0.87,0.5181644359464627,0.89,0.459853726816247,0.73,0.7939987741981791
old,tuned,tuned,old,tuned,0.8807142203417462,0.5210164644500865,0.89,0.5162393162393163,0.89,0.4599056137589039,0.67,0.7947120819926404
old,tuned,old,old,old,0.8804169487247151,0.5208442383105323,0.89,0.5164609053497943,0.89,0.4604156443565557,0.68,0.7942043908466705
old,old,tuned,old,old,0.880279826487939,0.520723314863491,0.88,0.5159802306425041,0.89,0.45731983307970725,0.7000000000000001,0.7938716846450045
old,tuned,tuned,old,old,0.8804499551864572,0.5201475052947281,0.89,0.5169230769230769,0.89,0.46066974319545617,0.68,0.794375987091992
