model,candidate_id,params_json,mtry_equivalent,fold_average_precision_mean,fold_average_precision_std,elapsed_seconds,roc_auc,average_precision,best_f1,best_f1_threshold,best_mcc,best_mcc_threshold,best_balanced_accuracy,best_balanced_accuracy_threshold,base_rate
catboost_native,8,"{""bagging_temperature"": 1.0, ""depth"": 5, ""iterations"": 550, ""l2_leaf_reg"": 12, ""learning_rate"": 0.035, ""random_strength"": 2.0, ""rsm"": 1.0}",47.0,0.507579706358785,0.007182694535471418,50.5022323000012,0.8760896334895246,0.5061643284891741,0.5125872004852896,0.67,0.4529166120811331,0.76,0.7893085746625109,0.38,0.10783892232731442
catboost_native,5,"{""bagging_temperature"": 1.0, ""depth"": 5, ""iterations"": 550, ""l2_leaf_reg"": 8, ""learning_rate"": 0.035, ""random_strength"": 1.0, ""rsm"": 0.75}",35.0,0.5081360814561903,0.009489332053905796,50.95840619999217,0.8745931626727604,0.5056068499907491,0.5146962769431744,0.7100000000000001,0.4552057927442735,0.73,0.7860468051372677,0.47000000000000003,0.10783892232731442
catboost_native,2,"{""bagging_temperature"": 1.0, ""depth"": 5, ""iterations"": 750, ""l2_leaf_reg"": 8, ""learning_rate"": 0.025, ""random_strength"": 1.0, ""rsm"": 1.0}",47.0,0.5071679442403665,0.011054032714826413,64.26919530000305,0.8758318255401706,0.5052515293182918,0.5107632093933464,0.7100000000000001,0.4505087815978741,0.7100000000000001,0.7890824657241102,0.36000000000000004,0.10783892232731442
catboost_native,6,"{""bagging_temperature"": 1.0, ""depth"": 5, ""iterations"": 550, ""l2_leaf_reg"": 8, ""learning_rate"": 0.035, ""random_strength"": 1.0, ""rsm"": 0.85}",40.0,0.5074293731180042,0.012922940176750398,55.144619299971964,0.875274958234952,0.505032046853585,0.5102599179206566,0.74,0.45325240444527776,0.74,0.787328773976713,0.43,0.10783892232731442
catboost_native,3,"{""bagging_temperature"": 1.0, ""depth"": 4, ""iterations"": 650, ""l2_leaf_reg"": 10, ""learning_rate"": 0.03, ""random_strength"": 1.0, ""rsm"": 1.0}",47.0,0.5077832074537386,0.013200498357899194,47.82664480002131,0.8763601423893957,0.5050310431678966,0.5110764430577223,0.7000000000000001,0.4502048933113486,0.72,0.7887495994264293,0.42000000000000004,0.10783892232731442
catboost_native,1,"{""bagging_temperature"": 1.0, ""depth"": 5, ""iterations"": 550, ""l2_leaf_reg"": 8, ""learning_rate"": 0.035, ""random_strength"": 1.0, ""rsm"": 1.0}",47.0,0.5038877177749373,0.012409320921161426,48.56913690001238,0.8745310454189728,0.5018067960231496,0.5108359133126935,0.68,0.44848804541332105,0.68,0.7878559701538336,0.34,0.10783892232731442
catboost_native,9,"{""bagging_temperature"": 0.2, ""depth"": 5, ""iterations"": 550, ""l2_leaf_reg"": 8, ""learning_rate"": 0.035, ""random_strength"": 1.0, ""rsm"": 1.0}",47.0,0.5038877177749373,0.012409320921161426,50.33298469998408,0.8745310454189728,0.5018067960231496,0.5108359133126935,0.68,0.44848804541332105,0.68,0.7878559701538336,0.34,0.10783892232731442
catboost_native,4,"{""bagging_temperature"": 1.0, ""depth"": 6, ""iterations"": 500, ""l2_leaf_reg"": 10, ""learning_rate"": 0.04, ""random_strength"": 1.0, ""rsm"": 1.0}",47.0,0.5035649535083699,0.019655622237086997,55.81352159997914,0.8738226739183046,0.5010221308137776,0.5072063784115302,0.65,0.44649861900070736,0.7100000000000001,0.7860517947963992,0.34,0.10783892232731442
catboost_native,7,"{""bagging_temperature"": 1.0, ""depth"": 5, ""iterations"": 550, ""l2_leaf_reg"": 4, ""learning_rate"": 0.035, ""random_strength"": 0.5, ""rsm"": 1.0}",47.0,0.5005736621553957,0.01506350587650424,51.48434409999754,0.8736791211582626,0.49893071848727505,0.5061728395061729,0.67,0.4431208798496387,0.67,0.7888631341836745,0.35000000000000003,0.10783892232731442
hgb_labelcoded,8,"{""l2_regularization"": 0.1, ""learning_rate"": 0.035, ""max_iter"": 350, ""max_leaf_nodes"": 11, ""min_samples_leaf"": 15}",,0.5067732447956818,0.009494701328837113,4.0962820000131615,0.8760761320589334,0.5051465290281004,0.5188981422165279,0.7000000000000001,0.45877126192424345,0.7000000000000001,0.7877787238266363,0.38,0.10783892232731442
hgb_labelcoded,7,"{""l2_regularization"": 0.5, ""learning_rate"": 0.035, ""max_iter"": 350, ""max_leaf_nodes"": 23, ""min_samples_leaf"": 35}",,0.5035572310688167,0.014966120811214558,5.12324109999463,0.8732524652785096,0.5017137970453499,0.5110294117647058,0.63,0.4484633272641981,0.63,0.7870550898392129,0.32,0.10783892232731442
hgb_labelcoded,2,"{""l2_regularization"": 0.1, ""learning_rate"": 0.025, ""max_iter"": 500, ""max_leaf_nodes"": 23, ""min_samples_leaf"": 20}",,0.5020757343870015,0.011315234877745712,7.999365299998317,0.8715553407897163,0.5000862772269097,0.5053868756121449,0.66,0.44452309525525097,0.66,0.7861683980605969,0.28,0.10783892232731442
hgb_labelcoded,3,"{""l2_regularization"": 0.1, ""learning_rate"": 0.03, ""max_iter"": 450, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 20}",,0.49987871773939135,0.014751183058052158,5.965342800016515,0.8736415519600956,0.497389292477857,0.5121661721068249,0.64,0.4530284488299336,0.72,0.7876911513064768,0.32,0.10783892232731442
hgb_labelcoded,1,"{""l2_regularization"": 0.1, ""learning_rate"": 0.035, ""max_iter"": 350, ""max_leaf_nodes"": 23, ""min_samples_leaf"": 20}",,0.4965039606075739,0.011792188492113867,6.29353500000434,0.8709155437487709,0.49495668856074726,0.5073649754500819,0.66,0.4471426483685601,0.68,0.7831853023319852,0.31,0.10783892232731442
hgb_labelcoded,6,"{""l2_regularization"": 0.0, ""learning_rate"": 0.035, ""max_iter"": 350, ""max_leaf_nodes"": 23, ""min_samples_leaf"": 20}",,0.4971598150903964,0.012733511192239831,5.604499000008218,0.8710754263023343,0.49485758274056146,0.5077120822622108,0.65,0.44631626836351074,0.65,0.7861393673165586,0.27,0.10783892232731442
hgb_labelcoded,5,"{""l2_regularization"": 0.1, ""learning_rate"": 0.05, ""max_iter"": 250, ""max_leaf_nodes"": 23, ""min_samples_leaf"": 20}",,0.49663219592068303,0.015431442179336036,4.03104579995852,0.8704865397941325,0.4940820378526827,0.5049410264583998,0.64,0.44283326197577616,0.64,0.7853329903720925,0.24000000000000002,0.10783892232731442
hgb_labelcoded,9,"{""l2_regularization"": 0.1, ""learning_rate"": 0.035, ""max_iter"": 350, ""max_leaf_nodes"": 39, ""min_samples_leaf"": 40}",,0.4956856795005354,0.017384568974437267,6.9944148999638855,0.8711714305459461,0.4926286944780162,0.5063291139240507,0.52,0.4427427442800289,0.5,0.7868005905408337,0.15000000000000002,0.10783892232731442
hgb_labelcoded,4,"{""l2_regularization"": 0.1, ""learning_rate"": 0.03, ""max_iter"": 450, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 20}",,0.4914138758132802,0.014982756749799597,9.460958500043489,0.8683636666363374,0.48894751952568893,0.5022638092363417,0.55,0.4382248341335317,0.55,0.7823569922334754,0.21000000000000002,0.10783892232731442
lightgbm,9,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.035, ""min_child_samples"": 35, ""n_estimators"": 500, ""num_leaves"": 12, ""reg_alpha"": 0.1, ""reg_lambda"": 2.0, ""scale_pos_weight"": 8.273089700996678, ""subsample"": 0.85}",423.0,0.5006151657324204,0.015046252807532738,3.821975599974394,0.8702721178648208,0.49969109859729705,0.5073361591131399,0.7000000000000001,0.4469615446931793,0.7100000000000001,0.7832852822933007,0.31,0.10783892232731442
lightgbm,1,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.04, ""min_child_samples"": 35, ""n_estimators"": 350, ""num_leaves"": 24, ""reg_alpha"": 0.1, ""reg_lambda"": 2.0, ""scale_pos_weight"": 8.273089700996678, ""subsample"": 0.85}",423.0,0.5013931927679944,0.01864205949544454,3.3783578000147827,0.8700685290991851,0.4989201158372705,0.5021861336664585,0.64,0.4416936957934028,0.73,0.7835359126046528,0.31,0.10783892232731442
lightgbm,2,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""min_child_samples"": 45, ""n_estimators"": 500, ""num_leaves"": 16, ""reg_alpha"": 0.1, ""reg_lambda"": 3.0, ""scale_pos_weight"": 8.273089700996678, ""subsample"": 0.85}",423.0,0.5004441425222177,0.017312402084145858,3.415143799968064,0.8708041169223889,0.497873254764416,0.5043538836642285,0.74,0.4499071918684046,0.77,0.784051341724677,0.33,0.10783892232731442
lightgbm,10,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.035, ""min_child_samples"": 35, ""n_estimators"": 450, ""num_leaves"": 24, ""reg_alpha"": 0.1, ""reg_lambda"": 2.0, ""scale_pos_weight"": 8.273089700996678, ""subsample"": 0.7}",423.0,0.4988929981361987,0.016876675909934663,4.5023723999620415,0.8692383245311655,0.4965405232007954,0.5,0.62,0.438112458578959,0.74,0.782890965808561,0.21000000000000002,0.10783892232731442
lightgbm,11,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.025, ""min_child_samples"": 40, ""n_estimators"": 600, ""num_leaves"": 20, ""reg_alpha"": 0.1, ""reg_lambda"": 2.0, ""scale_pos_weight"": 8.273089700996678, ""subsample"": 0.85}",370.0,0.49910642211370077,0.01783124007639292,4.631180099968333,0.8702556813406227,0.49619418403073984,0.4987146529562982,0.67,0.4457385588897896,0.76,0.7880962742722235,0.3,0.10783892232731442
lightgbm,4,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.06, ""min_child_samples"": 35, ""n_estimators"": 250, ""num_leaves"": 24, ""reg_alpha"": 0.1, ""reg_lambda"": 2.0, ""scale_pos_weight"": 8.273089700996678, ""subsample"": 0.85}",423.0,0.49839537735708445,0.021134485269343563,2.947729800012894,0.8698155773956168,0.49613917246524974,0.4945237305011616,0.67,0.43667958139210483,0.72,0.7846466053908063,0.24000000000000002,0.10783892232731442
lightgbm,8,"{""colsample_bytree"": 0.75, ""learning_rate"": 0.03, ""min_child_samples"": 55, ""n_estimators"": 500, ""num_leaves"": 24, ""reg_alpha"": 0.3, ""reg_lambda"": 5.0, ""scale_pos_weight"": 8.273089700996678, ""subsample"": 0.8}",397.0,0.4985164535258581,0.018183293525518833,4.984177100006491,0.8699841051339857,0.49605723322940687,0.5,0.66,0.4417553128771274,0.77,0.7859350314361866,0.27,0.10783892232731442
lightgbm,12,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.05, ""min_child_samples"": 30, ""n_estimators"": 300, ""num_leaves"": 20, ""reg_alpha"": 0.1, ""reg_lambda"": 2.0, ""scale_pos_weight"": 8.273089700996678, ""subsample"": 0.85}",476.0,0.49760517191937303,0.01871573473113022,3.6771060000173748,0.8696412328353725,0.49506759642792686,0.5019762845849802,0.68,0.44122018022808307,0.68,0.7848246588420629,0.33,0.10783892232731442
lightgbm,5,"{""colsample_bytree"": 0.65, ""learning_rate"": 0.035, ""min_child_samples"": 35, ""n_estimators"": 450, ""num_leaves"": 24, ""reg_alpha"": 0.1, ""reg_lambda"": 2.0, ""scale_pos_weight"": 8.273089700996678, ""subsample"": 0.85}",344.0,0.4971077801180263,0.021058206239422443,3.6957648000097834,0.8692438745263492,0.494510225447095,0.49867021276595747,0.67,0.44045585770848067,0.7000000000000001,0.7856287677596511,0.23,0.10783892232731442
lightgbm,6,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.035, ""min_child_samples"": 35, ""n_estimators"": 450, ""num_leaves"": 24, ""reg_alpha"": 0.1, ""reg_lambda"": 2.0, ""scale_pos_weight"": 8.273089700996678, ""subsample"": 0.85}",529.0,0.4968389359521863,0.020963131228479783,3.9681265000253916,0.868391043054888,0.49364210297282074,0.4980427582053598,0.6,0.4351095254237797,0.65,0.7836900850670175,0.23,0.10783892232731442
lightgbm,3,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""min_child_samples"": 30, ""n_estimators"": 500, ""num_leaves"": 31, ""reg_alpha"": 0.1, ""reg_lambda"": 2.0, ""scale_pos_weight"": 8.273089700996678, ""subsample"": 0.85}",423.0,0.49172192321216296,0.01860026275762884,4.690033200022299,0.8682774816149739,0.48931388188754105,0.4953940634595701,0.66,0.4364350453612937,0.66,0.7826272876719931,0.22,0.10783892232731442
lightgbm,7,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.04, ""min_child_samples"": 20, ""n_estimators"": 350, ""num_leaves"": 31, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""scale_pos_weight"": 8.273089700996678, ""subsample"": 0.85}",423.0,0.48537706847656414,0.019211623495015658,4.247701500018593,0.8661872680442217,0.48221921526803924,0.4930038701994641,0.56,0.43135520310610276,0.75,0.7796732226874197,0.26,0.10783892232731442
xgboost,5,"{""colsample_bytree"": 0.8, ""gamma"": 0.0, ""learning_rate"": 0.06, ""max_depth"": 3, ""min_child_weight"": 4, ""n_estimators"": 250, ""reg_alpha"": 0.05, ""reg_lambda"": 2.0, ""scale_pos_weight"": 8.273089700996678, ""subsample"": 0.85}",423.0,0.5130507165723954,0.01115771996556484,3.5727342999889515,0.8762325458655071,0.5111308598954372,0.5073260073260073,0.6900000000000001,0.45054562272492943,0.76,0.7896911240901543,0.47000000000000003,0.10783892232731442
xgboost,1,"{""colsample_bytree"": 0.8, ""gamma"": 0.0, ""learning_rate"": 0.04, ""max_depth"": 3, ""min_child_weight"": 4, ""n_estimators"": 350, ""reg_alpha"": 0.05, ""reg_lambda"": 2.0, ""scale_pos_weight"": 8.273089700996678, ""subsample"": 0.85}",423.0,0.5094944605674782,0.013251920147958476,3.905780599976424,0.8763068570990976,0.508480471493368,0.5082159624413145,0.67,0.4495275117477767,0.81,0.7923529604821665,0.45,0.10783892232731442
xgboost,11,"{""colsample_bytree"": 0.7, ""gamma"": 0.0, ""learning_rate"": 0.025, ""max_depth"": 3, ""min_child_weight"": 5, ""n_estimators"": 650, ""reg_alpha"": 0.05, ""reg_lambda"": 2.0, ""scale_pos_weight"": 8.273089700996678, ""subsample"": 0.85}",370.0,0.5074150226829536,0.010946640820373938,5.264499200042337,0.8770955701165846,0.506480043019238,0.5111241217798594,0.67,0.45164673308530584,0.74,0.7920426677225888,0.44,0.10783892232731442
xgboost,8,"{""colsample_bytree"": 0.8, ""gamma"": 0.0, ""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_weight"": 4, ""n_estimators"": 500, ""reg_alpha"": 0.05, ""reg_lambda"": 2.0, ""scale_pos_weight"": 8.273089700996678, ""subsample"": 0.7}",423.0,0.5072145595240851,0.010518888545022925,5.131564899988007,0.8773503095589861,0.5064393197234327,0.507926237463604,0.72,0.44983942572590624,0.77,0.7943576027329458,0.42000000000000004,0.10783892232731442
xgboost,9,"{""colsample_bytree"": 0.8, ""gamma"": 0.1, ""learning_rate"": 0.04, ""max_depth"": 3, ""min_child_weight"": 8, ""n_estimators"": 350, ""reg_alpha"": 0.05, ""reg_lambda"": 4.0, ""scale_pos_weight"": 8.273089700996678, ""subsample"": 0.85}",423.0,0.507701609212203,0.011413222946739137,4.1579061999800615,0.8752050496417718,0.5062860091835181,0.5092348284960422,0.73,0.44944617778153173,0.73,0.7912469371631146,0.44,0.10783892232731442
xgboost,12,"{""colsample_bytree"": 0.9, ""gamma"": 0.0, ""learning_rate"": 0.05, ""max_depth"": 2, ""min_child_weight"": 4, ""n_estimators"": 300, ""reg_alpha"": 0.05, ""reg_lambda"": 2.0, ""scale_pos_weight"": 8.273089700996678, ""subsample"": 0.85}",476.0,0.5070093306974846,0.014397133941839361,3.0188595000072382,0.8760154823519493,0.5062808205126348,0.5069016152716593,0.67,0.4509443916129381,0.8,0.7902354238582019,0.49,0.10783892232731442
xgboost,2,"{""colsample_bytree"": 0.8, ""gamma"": 0.0, ""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_weight"": 4, ""n_estimators"": 500, ""reg_alpha"": 0.05, ""reg_lambda"": 2.0, ""scale_pos_weight"": 8.273089700996678, ""subsample"": 0.85}",423.0,0.5070817034270192,0.010867830217229759,4.734630200022366,0.8760559065957156,0.5054914480744283,0.5095579450418161,0.68,0.44808103734239324,0.78,0.7914952994475888,0.43,0.10783892232731442
xgboost,10,"{""colsample_bytree"": 0.8, ""gamma"": 0.0, ""learning_rate"": 0.04, ""max_depth"": 4, ""min_child_weight"": 3, ""n_estimators"": 350, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""scale_pos_weight"": 8.273089700996678, ""subsample"": 0.85}",423.0,0.5063806836953649,0.01231421914855619,4.605605299992021,0.8749377426621994,0.5052537305711807,0.5062376887721602,0.7100000000000001,0.4489737874957503,0.75,0.7901626869020915,0.39,0.10783892232731442
xgboost,3,"{""colsample_bytree"": 0.8, ""gamma"": 0.0, ""learning_rate"": 0.03, ""max_depth"": 2, ""min_child_weight"": 3, ""n_estimators"": 500, ""reg_alpha"": 0.05, ""reg_lambda"": 2.0, ""scale_pos_weight"": 8.273089700996678, ""subsample"": 0.85}",423.0,0.5076683357032975,0.012610106388515289,3.9578980000223964,0.8759264156023173,0.5051590082845644,0.5109580463368817,0.7000000000000001,0.451319513708286,0.76,0.7899254512906541,0.47000000000000003,0.10783892232731442
xgboost,7,"{""colsample_bytree"": 1.0, ""gamma"": 0.0, ""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_weight"": 4, ""n_estimators"": 500, ""reg_alpha"": 0.05, ""reg_lambda"": 2.0, ""scale_pos_weight"": 8.273089700996678, ""subsample"": 0.85}",529.0,0.5067278676724589,0.012775704673768437,5.630841800011694,0.8766820154273856,0.5048564670206972,0.5105386416861827,0.67,0.4474853166077121,0.67,0.791707373302015,0.41000000000000003,0.10783892232731442
xgboost,6,"{""colsample_bytree"": 0.65, ""gamma"": 0.0, ""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_weight"": 4, ""n_estimators"": 500, ""reg_alpha"": 0.05, ""reg_lambda"": 2.0, ""scale_pos_weight"": 8.273089700996678, ""subsample"": 0.85}",344.0,0.5051061840881119,0.011014833009032457,4.7004879000014625,0.8764032615827465,0.5037365137674666,0.5104014063873425,0.67,0.44864557065316774,0.76,0.789213904552357,0.41000000000000003,0.10783892232731442
xgboost,4,"{""colsample_bytree"": 0.8, ""gamma"": 0.0, ""learning_rate"": 0.035, ""max_depth"": 4, ""min_child_weight"": 6, ""n_estimators"": 450, ""reg_alpha"": 0.05, ""reg_lambda"": 2.0, ""scale_pos_weight"": 8.273089700996678, ""subsample"": 0.85}",423.0,0.5006368128778901,0.013039971242093653,5.336767200031318,0.8744712762400705,0.49962872755880317,0.5076765609007164,0.74,0.4526553706771932,0.78,0.7896372517811349,0.36000000000000004,0.10783892232731442
